Time [s],EZRDM-0_1,EZRDM-0_2,EZRDM-0_3,EZRDM-0_blank,EZRDM-20_1,EZRDM-20_2,EZRDM-20_3,EZRDM-20_blank,EZRDM-25_1,EZRDM-25_2,EZRDM-25_3,EZRDM-25_blank,EZRDM-50_1,EZRDM-50_2,EZRDM-50_3,EZRDM-50_blank,LB_1,LB_2,LB_3,LB_blank,EZRDM-20acid_1,EZRDM-20acid_2,EZRDM-20acid_3,EZRDM-20acid_blank
42020.7,0.783999979,0.785899997,0.810299993,0.082699999,1.108999968,1.099499941,1.168099999,0.080499999,1.137899995,1.157199979,1.149700046,0.079899997,1.152899981,1.152199984,1.153499961,0.083700001,1.037999988,0.989400029,0.9921,0.089000002,1.217200041,1.199000001,1.227399945,0.086400002
42914.8,0.793200016,0.800100029,0.816500008,0.082599998,1.117300034,1.106600046,1.168200016,0.0792,1.143900037,1.163499951,1.159399986,0.0823,1.156700015,1.157999992,1.154600024,0.0801,1.047899961,1.002400041,1.003399968,0.089100003,1.221099973,1.20539999,1.23150003,0.084600002
43808.8,0.800599992,0.805400014,0.82130003,0.083999999,1.121700048,1.117799997,1.170600057,0.0788,1.148900032,1.170400023,1.161399961,0.079700001,1.163200021,1.164600015,1.158499956,0.081900001,1.055199981,1.012799978,1.019199967,0.089199997,1.227399945,1.210000038,1.234699965,0.084600002
44702.9,0.809099972,0.809800029,0.826699972,0.079300001,1.129400015,1.128200054,1.16960001,0.078900002,1.153699994,1.175799966,1.167199969,0.080700003,1.168599963,1.172399998,1.165099978,0.080499999,1.063799977,1.022899985,1.026900053,0.0889,1.230200052,1.213500023,1.238700032,0.083300002
45596.9,0.816500008,0.815599978,0.829999983,0.080499999,1.133599997,1.128200054,1.167600036,0.083499998,1.153699994,1.175999999,1.162899971,0.082099997,1.167600036,1.170699954,1.163599968,0.080399998,1.067199945,1.027400017,1.032400012,0.088299997,1.229300022,1.218199968,1.238899946,0.085199997
46490.9,0.825399995,0.820500016,0.835699975,0.082099997,1.137300014,1.14349997,1.17019999,0.079099998,1.159100056,1.182600021,1.172600031,0.081,1.171399951,1.176699996,1.169100046,0.082699999,1.075600028,1.038499951,1.040099978,0.088799998,1.234599948,1.22329998,1.242799997,0.085699998
47385,0.829100013,0.821200013,0.842100024,0.082199998,1.145300031,1.148200035,1.168099999,0.079300001,1.163499951,1.187899947,1.180500031,0.084200002,1.177399993,1.181200027,1.174200058,0.081500001,1.087499976,1.052299976,1.053200006,0.088100001,1.241099954,1.227800012,1.247599959,0.086099997
48279,0.83920002,0.826600015,0.846300006,0.082999997,1.145900011,1.146800041,1.166399956,0.079499997,1.161999941,1.1875,1.1796,0.081200004,1.177299976,1.181300044,1.175300002,0.083099999,1.089300036,1.053200006,1.055899978,0.088600002,1.239799976,1.228399992,1.248000026,0.087099999
49173.1,0.846899986,0.82950002,0.84890002,0.082699999,1.150500059,1.157999992,1.168499947,0.078900002,1.166399956,1.192700028,1.185799956,0.080899999,1.17809999,1.184100032,1.176599979,0.082800001,1.099499941,1.06219995,1.066599965,0.089000002,1.245599985,1.231600046,1.251999974,0.082699999
50067.1,0.849600017,0.831200004,0.854099989,0.082000002,1.154600024,1.159700036,1.166300058,0.081600003,1.171300054,1.192800045,1.187999964,0.082000002,1.181100011,1.188699961,1.17900002,0.082199998,1.105800033,1.068899989,1.07280004,0.088600002,1.246199965,1.236400008,1.252900004,0.086000003
50961.1,0.856000006,0.834800005,0.856100023,0.080799997,1.156100035,1.159199953,1.166599989,0.079300001,1.169499993,1.187999964,1.185299993,0.082099997,1.180899978,1.186400056,1.178500056,0.0801,1.111600041,1.074399948,1.078099966,0.088500001,1.246899962,1.235800028,1.258399963,0.085500002
51855.2,0.866299987,0.83920002,0.858699977,0.082800001,1.157199979,1.157899976,1.164499998,0.085600004,1.172999978,1.192999959,1.185799956,0.082599998,1.184000015,1.18900001,1.180699944,0.086800002,1.120599985,1.080800056,1.087599993,0.088299997,1.247300029,1.238800049,1.257099986,0.084100001
52749.2,0.871200025,0.841700017,0.8653,0.082199998,1.158699989,1.163599968,1.165099978,0.079400003,1.175400019,1.191400051,1.189100027,0.078000002,1.182000041,1.189800024,1.185299993,0.085199997,1.127099991,1.088799953,1.096600056,0.088299997,1.25059998,1.241799951,1.259899974,0.0867
53643.3,0.880599976,0.845499992,0.867999971,0.084600002,1.155599952,1.16260004,1.160300016,0.082500003,1.174499989,1.191400051,1.189700007,0.081600003,1.183400035,1.190600038,1.185899973,0.080799997,1.128800035,1.094900012,1.105900049,0.088399999,1.25150001,1.241899967,1.261500001,0.086800002
